Appliance Type,Model,Brand,Power (W),Voltage (V),Current (A),Operational Hours,Power Factor
0,0,0,85.37,176.29,0.484,1,0.92
0,0,0,94.18,234.32,0.402,2,0.95
0,0,0,39.56,187.11,0.211,8,0.91
0,0,0,82.32,237.82,0.346,7,0.96
0,0,0,89.33,212.73,0.42,6,0.96
0,0,0,91.76,154.05,0.596,5,1.0
0,0,0,87.32,222.2,0.393,6,0.97
0,0,0,68.18,200.04,0.341,4,0.81
0,0,0,33.81,146.65,0.231,8,0.87
0,0,0,12.26,202.37,0.061,8,0.93
0,0,0,77.24,207.73,0.372,3,0.97
0,0,0,61.12,202.73,0.301,2,0.82
0,0,0,13.31,219.05,0.061,7,0.91
0,0,0,74.79,166.72,0.449,5,0.82
0,0,0,49.58,164.75,0.301,1,0.81
0,0,0,20.21,150.18,0.135,5,0.82
0,0,0,96.04,187.52,0.512,7,0.91
0,0,0,55.68,113.76,0.489,4,0.96
0,0,0,12.24,223.88,0.055,3,0.88
0,0,0,74.42,131.02,0.568,1,0.98
0,0,0,86.45,122.15,0.708,2,0.88
0,0,0,49.92,130.71,0.382,7,0.83
0,0,0,30.24,228.62,0.132,2,0.85
0,0,0,83.59,234.33,0.357,5,0.97
0,0,0,78.13,132.65,0.589,2,0.85
0,0,0,50.56,198.94,0.254,7,0.81
0,0,0,34.75,204.75,0.17,3,0.81
0,0,0,42.54,200.49,0.212,2,0.9
0,0,0,27.26,158.72,0.172,7,0.99
0,0,0,52.85,137.3,0.385,8,0.87
0,0,0,8.39,222.46,0.038,1,0.88
0,0,0,67.07,166.11,0.404,4,0.96
0,0,0,93.21,198.95,0.469,6,0.9
0,0,0,42.62,216.36,0.197,7,0.96
0,0,0,99.46,149.27,0.666,7,0.91
0,0,0,24.84,117.87,0.211,1,0.91
0,0,0,11.29,132.94,0.085,2,0.91
0,0,0,13.14,118.13,0.111,1,0.85
0,0,0,65.43,213.59,0.306,6,0.99
0,0,0,66.4,225.41,0.295,7,0.9
0,0,0,80.95,136.3,0.594,8,0.89
0,0,0,12.82,123.97,0.103,6,0.91
0,0,0,9.27,232.78,0.04,7,0.93
0,0,0,90.3,126.38,0.715,3,0.88
0,0,0,32.64,163.11,0.2,1,0.89
0,0,0,12.83,131.82,0.097,8,0.98
0,0,0,24.33,132.04,0.184,3,0.99
0,0,0,62.08,122.5,0.507,8,0.98
0,0,0,49.96,229.31,0.218,1,0.85
0,0,0,6.82,189.88,0.036,2,0.97
0,0,0,75.89,178.31,0.426,3,0.98
0,0,0,27.6,189.05,0.146,1,0.84
0,0,0,94.14,124.87,0.754,8,0.95
0,0,0,20.75,231.12,0.09,1,0.98
0,0,0,24.83,198.92,0.125,2,0.88
0,0,0,26.96,130.55,0.207,3,0.83
0,0,0,50.47,112.86,0.447,5,0.85
0,0,0,60.76,207.76,0.292,1,0.96
0,0,0,42.29,112.35,0.376,6,0.82
0,0,0,97.79,232.16,0.421,1,0.95
0,0,0,53.58,184.21,0.291,4,0.86
0,0,0,87.8,196.59,0.447,3,0.85
0,0,0,92.63,180.0,0.515,7,0.9
0,0,0,55.97,148.94,0.376,7,0.82
0,0,0,94.5,116.72,0.81,4,0.94
0,0,0,79.53,163.21,0.487,6,0.95
0,0,0,35.24,223.24,0.158,5,0.88
0,0,0,69.19,195.54,0.354,4,0.84
0,0,0,48.6,234.4,0.207,4,0.98
0,0,0,99.12,208.21,0.476,2,0.93
0,0,0,9.64,134.25,0.072,2,0.88
0,0,0,92.7,209.56,0.442,8,1.0
0,0,0,42.59,196.73,0.216,8,0.97
0,0,0,24.29,117.7,0.206,3,0.83
0,0,0,78.7,157.42,0.5,7,0.85
0,0,0,34.01,133.04,0.256,8,0.99
0,0,0,12.4,151.85,0.082,3,0.83
0,0,0,81.94,148.68,0.551,1,0.87
0,0,0,40.91,216.99,0.189,8,0.86
0,0,0,91.75,175.1,0.524,3,0.91
0,0,0,11.44,134.66,0.085,7,0.95
0,0,0,31.63,140.76,0.225,8,0.95
0,0,0,85.22,194.86,0.437,7,0.93
0,0,0,83.01,138.49,0.599,7,0.94
0,0,0,22.06,171.31,0.129,6,0.86
0,0,0,96.51,199.87,0.483,4,0.99
0,0,0,18.18,216.58,0.084,3,0.8
0,0,0,53.18,180.1,0.295,2,0.89
0,0,0,76.58,142.17,0.539,7,0.9
0,0,0,12.67,219.45,0.058,8,0.96
0,0,0,35.09,223.0,0.157,5,0.9
0,0,0,7.17,214.03,0.033,5,0.95
0,0,0,61.28,188.99,0.324,6,0.85
0,0,0,44.64,237.98,0.188,4,0.81
0,0,0,72.6,232.62,0.312,7,0.89
0,0,0,23.33,199.09,0.117,3,0.99
0,0,0,30.44,223.79,0.136,5,0.89
0,0,0,64.37,132.63,0.485,1,1.0
0,0,0,33.83,137.34,0.246,6,0.98
0,0,0,80.25,214.01,0.375,6,0.83
0,1,0,68.59,111.64,0.614,1,0.86
0,1,0,77.37,179.47,0.431,7,0.88
0,1,0,83.77,144.01,0.582,7,0.84
0,1,0,28.66,185.34,0.155,3,0.92
0,1,0,53.77,209.93,0.256,2,0.87
0,1,0,88.27,137.07,0.644,8,0.9
0,1,0,92.38,234.33,0.394,3,0.89
0,1,0,44.2,182.09,0.243,8,0.96
0,1,0,80.92,130.08,0.622,7,0.98
0,1,0,92.43,193.36,0.478,3,0.93
0,1,0,14.05,147.35,0.095,3,0.92
0,1,0,84.05,116.36,0.722,2,0.89
0,1,0,13.97,220.86,0.063,2,0.97
0,1,0,78.42,220.0,0.356,5,0.81
0,1,0,60.25,118.54,0.508,3,0.8
0,1,0,87.7,147.71,0.594,8,0.82
0,1,0,39.3,235.87,0.167,6,0.92
0,1,0,99.6,234.23,0.425,8,0.97
0,1,0,52.89,197.58,0.268,5,0.83
0,1,0,10.65,152.18,0.07,7,0.94
0,1,0,69.51,194.92,0.357,1,0.84
0,1,0,76.04,218.84,0.347,5,0.99
0,1,0,18.05,228.61,0.079,6,0.83
0,1,0,58.03,176.31,0.329,5,0.96
0,1,0,67.21,157.82,0.426,1,0.95
0,1,0,31.19,170.53,0.183,2,0.98
0,1,0,39.78,221.84,0.179,8,0.92
0,1,0,76.21,155.18,0.491,3,0.85
0,1,0,96.22,237.59,0.405,2,0.95
0,1,0,10.78,215.83,0.05,5,0.87
0,1,0,54.51,128.79,0.423,7,0.99
0,1,0,40.21,147.26,0.273,6,1.0
0,1,0,40.55,182.41,0.222,3,0.99
0,1,0,60.79,119.02,0.511,4,0.89
0,1,0,25.2,117.55,0.214,8,0.82
0,1,0,73.07,210.16,0.348,3,0.81
0,1,0,61.52,127.88,0.481,5,0.98
0,1,0,49.18,182.06,0.27,2,0.92
0,1,0,78.28,174.33,0.449,3,0.98
0,1,0,8.26,119.85,0.069,6,0.83
0,1,0,39.26,132.42,0.296,6,0.98
0,1,0,99.26,210.68,0.471,7,0.95
0,1,0,13.31,238.73,0.056,5,0.8
0,1,0,68.32,178.23,0.383,7,0.93
0,1,0,22.41,182.7,0.123,2,0.8
0,1,0,95.44,177.64,0.537,4,0.97
0,1,0,71.65,140.36,0.51,3,0.85
0,1,0,14.73,131.35,0.112,6,0.81
0,1,0,80.96,230.01,0.352,5,0.82
0,1,0,27.63,157.25,0.176,5,0.82
0,1,0,20.29,193.55,0.105,7,0.8
0,1,0,20.71,160.3,0.129,4,0.88
0,1,0,80.09,140.13,0.572,2,0.9
0,1,0,31.51,198.36,0.159,6,0.87
0,1,0,57.94,218.39,0.265,3,0.84
0,1,0,72.72,143.93,0.505,4,0.98
0,1,0,81.41,237.01,0.343,4,0.89
0,1,0,59.95,188.6,0.318,8,0.91
0,1,0,31.94,192.53,0.166,6,0.81
0,1,0,21.24,235.91,0.09,1,0.86
0,1,0,86.93,128.61,0.676,6,0.97
0,1,0,63.07,185.98,0.339,2,0.9
0,1,0,22.24,235.0,0.095,6,0.99
0,1,0,36.46,228.36,0.16,7,0.92
0,1,0,39.75,167.43,0.237,8,0.94
0,1,0,49.43,143.16,0.345,4,0.97
0,1,0,57.04,120.19,0.475,6,0.86
0,1,0,43.39,208.62,0.208,4,0.83
0,1,0,94.64,222.64,0.425,6,0.82
0,1,0,90.91,148.26,0.613,8,0.82
0,1,0,19.8,197.5,0.1,4,0.94
0,1,0,46.51,126.39,0.368,6,0.97
0,1,0,67.79,147.34,0.46,5,0.82
0,1,0,31.47,179.85,0.175,8,0.85
0,1,0,43.11,131.67,0.327,6,0.93
0,1,0,42.64,114.28,0.373,1,0.9
0,1,0,43.81,183.12,0.239,7,0.96
0,1,0,17.96,143.31,0.125,8,0.98
0,1,0,66.77,208.14,0.321,5,0.87
0,1,0,15.47,238.55,0.065,6,0.84
0,1,0,79.6,162.15,0.491,7,0.95
0,1,0,67.65,196.22,0.345,6,0.98
0,1,0,66.97,227.45,0.294,2,0.83
0,1,0,70.85,193.19,0.367,5,0.81
0,1,0,93.1,147.02,0.633,8,0.99
0,1,0,17.04,229.84,0.074,1,0.96
0,1,0,27.72,110.35,0.251,6,0.89
0,1,0,34.59,223.48,0.155,1,0.9
0,1,0,18.44,156.9,0.118,2,0.82
0,1,0,16.19,189.65,0.085,6,0.91
0,1,0,12.26,145.91,0.084,2,0.88
0,1,0,70.2,169.93,0.413,8,0.89
0,1,0,42.65,145.77,0.293,4,0.93
0,1,0,60.59,177.18,0.342,1,0.86
0,1,0,83.9,158.88,0.528,7,0.94
0,1,0,26.06,159.26,0.164,2,0.9
0,1,0,68.64,161.05,0.426,6,0.81
0,1,0,54.16,127.67,0.424,3,0.83
0,1,0,95.38,203.11,0.47,2,0.93
0,1,0,63.45,157.99,0.402,2,0.96
0,2,1,60.94,185.46,0.329,7,0.97
0,2,1,55.91,166.47,0.336,3,0.82
0,2,1,20.67,172.81,0.12,6,0.87
0,2,1,72.14,150.07,0.481,1,0.85
0,2,1,12.71,140.35,0.091,8,0.99
0,2,1,51.29,120.44,0.426,7,0.9
0,2,1,78.0,214.61,0.363,7,0.95
0,2,1,53.46,126.21,0.424,3,0.98
0,2,1,41.66,123.44,0.337,5,0.89
0,2,1,70.55,152.35,0.463,8,0.91
0,2,1,65.26,146.2,0.446,4,0.85
0,2,1,17.8,129.46,0.137,5,0.82
0,2,1,85.71,202.45,0.423,3,0.84
0,2,1,22.92,121.64,0.188,8,0.86
0,2,1,32.41,237.34,0.137,7,0.83
0,2,1,26.08,222.59,0.117,1,0.87
0,2,1,83.59,191.18,0.437,2,0.98
0,2,1,32.43,123.62,0.262,1,0.84
0,2,1,68.95,178.4,0.386,1,0.9
0,2,1,84.99,145.98,0.582,3,0.82
0,2,1,84.31,149.24,0.565,8,0.81
0,2,1,90.4,192.02,0.471,5,0.88
0,2,1,51.52,112.26,0.459,3,0.84
0,2,1,19.84,233.4,0.085,5,0.86
0,2,1,74.71,234.02,0.319,3,1.0
0,2,1,65.31,234.88,0.278,1,0.91
0,2,1,55.64,117.51,0.473,8,0.94
0,2,1,10.23,132.35,0.077,8,0.86
0,2,1,36.99,148.42,0.249,6,0.86
0,2,1,88.45,146.68,0.603,4,0.92
0,2,1,82.62,126.77,0.652,4,1.0
0,2,1,38.13,144.84,0.263,6,0.98
0,2,1,92.14,135.51,0.68,2,0.83
0,2,1,14.31,209.81,0.068,4,0.89
0,2,1,44.13,197.06,0.224,1,0.91
0,2,1,82.88,173.71,0.477,2,0.88
0,2,1,54.12,126.9,0.426,2,0.98
0,2,1,51.92,191.55,0.271,8,0.84
0,2,1,74.51,226.56,0.329,8,0.93
0,2,1,5.02,134.37,0.037,2,0.87
0,2,1,51.38,166.75,0.308,2,0.84
0,2,1,21.91,158.91,0.138,7,0.96
0,2,1,91.3,144.91,0.63,8,0.86
0,2,1,98.82,213.29,0.463,2,0.91
0,2,1,43.97,147.37,0.298,4,0.82
0,2,1,24.61,180.03,0.137,3,0.94
0,2,1,28.05,147.05,0.191,6,0.81
0,2,1,5.56,157.81,0.035,6,0.88
0,2,1,61.19,234.44,0.261,7,0.95
0,2,1,75.58,160.47,0.471,7,0.83
0,2,1,77.67,193.3,0.402,4,0.91
0,2,1,53.62,220.83,0.243,2,0.83
0,2,1,8.81,225.2,0.039,4,0.81
0,2,1,6.53,158.95,0.041,1,0.92
0,2,1,50.77,212.09,0.239,3,0.86
0,2,1,85.43,227.16,0.376,2,0.85
0,2,1,90.88,149.34,0.609,2,0.98
0,2,1,11.05,206.42,0.054,4,0.84
0,2,1,74.26,215.53,0.345,7,0.8
0,2,1,11.67,115.56,0.101,6,0.94
0,2,1,24.37,179.97,0.135,6,0.82
0,2,1,34.58,215.82,0.16,7,0.96
0,2,1,45.62,163.7,0.279,1,0.86
0,2,1,48.81,123.92,0.394,3,0.98
0,2,1,75.47,181.13,0.417,7,0.83
0,2,1,38.46,116.44,0.33,6,0.82
0,2,1,41.64,185.85,0.224,5,0.89
0,2,1,10.99,156.96,0.07,7,0.93
0,2,1,76.94,217.83,0.353,7,0.83
0,2,1,84.05,110.77,0.759,1,0.91
0,2,1,53.02,237.07,0.224,3,0.94
0,2,1,19.63,212.69,0.092,2,1.0
0,2,1,96.6,170.07,0.568,7,0.86
0,2,1,57.04,236.07,0.242,6,1.0
0,2,1,65.03,116.3,0.559,2,0.95
